,obsHistID,filter,expMJD,fieldID,fieldRA,fieldDec,fiveSigmaDepth
244,863438,z,60845.426237,1000,5.718053,-0.674641,22.268408
245,863471,z,60845.442224,1000,5.718053,-0.674641,22.245028
246,865800,u,60849.279391,1000,5.718053,-0.674641,23.241334
247,866752,u,60850.220035,1000,5.718053,-0.674641,23.129058
248,870651,z,60860.164401,1000,5.718053,-0.674641,22.485377
249,870676,z,60860.177384,1000,5.718053,-0.674641,22.573089
250,872744,z,60862.170415,1000,5.718053,-0.674641,22.661083
251,872774,z,60862.184063,1000,5.718053,-0.674641,22.736367
252,873851,y,60863.191422,1000,5.718053,-0.674641,21.86211
253,873886,y,60863.207101,1000,5.718053,-0.674641,21.908684
254,874854,y,60864.166725,1000,5.718053,-0.674641,21.563832
255,881196,r,60873.394703,1000,5.718053,-0.674641,23.72906
256,881707,r,60875.150794,1000,5.718053,-0.674641,24.260874
257,881734,r,60875.163452,1000,5.718053,-0.674641,24.317213
258,884749,u,60878.126519,1000,5.718053,-0.674641,23.053237
259,884759,u,60878.131034,1000,5.718053,-0.674641,23.085538
260,886951,g,60880.186504,1000,5.718053,-0.674641,24.850079
261,887014,g,60880.217511,1000,5.718053,-0.674641,24.919995
262,889851,r,60883.116701,1000,5.718053,-0.674641,23.876395
263,889895,r,60883.138393,1000,5.718053,-0.674641,23.980933
264,890492,r,60884.180744,1000,5.718053,-0.674641,24.39714
265,895161,z,60889.084469,1000,5.718053,-0.674641,22.668259
266,895192,z,60889.099638,1000,5.718053,-0.674641,22.758617
267,896447,r,60890.22346,1000,5.718053,-0.674641,24.094592
268,896486,r,60890.242214,1000,5.718053,-0.674641,24.132142
269,897185,z,60891.090653,1000,5.718053,-0.674641,22.194316
270,897214,z,60891.104207,1000,5.718053,-0.674641,22.265357
271,897781,i,60892.279063,1000,5.718053,-0.674641,23.408745
272,903453,z,60898.2464,1000,5.718053,-0.674641,22.48853
273,903496,z,60898.266565,1000,5.718053,-0.674641,22.467082
274,905086,r,60900.078377,1000,5.718053,-0.674641,23.89368
275,905512,i,60900.28186,1000,5.718053,-0.674641,23.315933
276,905549,i,60900.298883,1000,5.718053,-0.674641,23.270674
277,905579,i,60900.312721,1000,5.718053,-0.674641,23.226326
278,905614,i,60900.328606,1000,5.718053,-0.674641,23.166462
279,905660,i,60900.349364,1000,5.718053,-0.674641,23.072253
280,906566,g,60902.170496,1000,5.718053,-0.674641,24.481179
281,911913,g,60908.043698,1000,5.718053,-0.674641,24.34336
282,911939,g,60908.055438,1000,5.718053,-0.674641,24.410383
283,913319,r,60910.129651,1000,5.718053,-0.674641,24.05805
284,913352,r,60910.144566,1000,5.718053,-0.674641,24.081194
285,914134,u,60911.050624,1000,5.718053,-0.674641,23.01287
286,915222,u,60912.089263,1000,5.718053,-0.674641,23.298756
287,916076,u,60913.044218,1000,5.718053,-0.674641,22.804492
288,918880,y,60931.984103,1000,5.718053,-0.674641,21.453
289,918909,y,60931.997141,1000,5.718053,-0.674641,21.650053
290,920782,g,60934.011308,1000,5.718053,-0.674641,24.810978
291,920813,g,60934.025551,1000,5.718053,-0.674641,24.863751
292,922676,r,60936.035879,1000,5.718053,-0.674641,24.127183
293,922705,r,60936.049246,1000,5.718053,-0.674641,24.158789
294,923554,i,60937.016643,1000,5.718053,-0.674641,23.657618
295,923588,i,60937.032333,1000,5.718053,-0.674641,23.702888
296,930006,i,60944.042441,1000,5.718053,-0.674641,23.962854
297,930048,i,60944.062929,1000,5.718053,-0.674641,23.995185
298,940762,i,60958.210706,1000,5.718053,-0.674641,22.780419
299,941423,r,60959.12033,1000,5.718053,-0.674641,23.95246
300,941459,r,60959.138234,1000,5.718053,-0.674641,23.752238
301,951783,z,60974.009051,1000,5.718053,-0.674641,22.150931
302,956050,y,60980.001088,1000,5.718053,-0.674641,21.583917
303,956100,y,60980.024002,1000,5.718053,-0.674641,21.722883
304,960892,r,60994.077262,1000,5.718053,-0.674641,24.197363
305,960935,r,60994.09813,1000,5.718053,-0.674641,24.096266
306,966759,y,61003.036297,1000,5.718053,-0.674641,21.478881
307,1065728,z,61138.416176,1000,5.718053,-0.674641,21.899537
308,1067588,y,61140.405072,1000,5.718053,-0.674641,21.433591
309,1067603,y,61140.411792,1000,5.718053,-0.674641,21.461876
310,1070923,g,61148.381608,1000,5.718053,-0.674641,24.672839
311,1070965,g,61148.401438,1000,5.718053,-0.674641,24.786163
312,1072892,y,61150.425053,1000,5.718053,-0.674641,21.476446
313,1073847,y,61151.41765,1000,5.718053,-0.674641,21.875182
314,1076699,r,61154.393321,1000,5.718053,-0.674641,24.355138
315,1078574,i,61156.362322,1000,5.718053,-0.674641,23.217939
316,1078617,i,61156.381884,1000,5.718053,-0.674641,23.317069
317,1081555,y,61159.348817,1000,5.718053,-0.674641,21.099339
318,1081581,y,61159.360434,1000,5.718053,-0.674641,21.14928
319,1083665,y,61161.363679,1000,5.718053,-0.674641,21.640881
320,1086847,y,61164.397614,1000,5.718053,-0.674641,21.996139
321,1093614,u,61174.356146,1000,5.718053,-0.674641,22.781057
322,1098150,i,61179.338331,1000,5.718053,-0.674641,23.58155
323,1098192,i,61179.357744,1000,5.718053,-0.674641,23.64718
324,1099361,g,61181.294413,1000,5.718053,-0.674641,24.523264
325,1099397,g,61181.310907,1000,5.718053,-0.674641,24.616295
326,1106847,z,61194.34366,1000,5.718053,-0.674641,21.644537
327,1106880,z,61194.359762,1000,5.718053,-0.674641,21.676322
328,1111248,z,61218.200699,1000,5.718053,-0.674641,21.922278
329,1111282,z,61218.215929,1000,5.718053,-0.674641,21.999637
330,1112328,y,61219.203042,1000,5.718053,-0.674641,21.286416
331,1122373,u,61233.177757,1000,5.718053,-0.674641,23.146888
332,1124448,u,61235.157991,1000,5.718053,-0.674641,23.110082
333,1125573,r,61236.198707,1000,5.718053,-0.674641,23.889149
334,1125622,r,61236.221495,1000,5.718053,-0.674641,23.951851
335,1127614,g,61239.177716,1000,5.718053,-0.674641,24.108037
336,1127643,g,61239.191198,1000,5.718053,-0.674641,24.157078
337,1129545,z,61243.118083,1000,5.718053,-0.674641,22.573649
338,1129581,z,61243.13475,1000,5.718053,-0.674641,22.674168
339,1131628,z,61245.118739,1000,5.718053,-0.674641,22.30279
340,1131663,z,61245.135278,1000,5.718053,-0.674641,22.392003
341,1131671,z,61245.138909,1000,5.718053,-0.674641,22.409922
342,1131714,z,61245.158748,1000,5.718053,-0.674641,22.497502
343,1132042,i,61245.312721,1000,5.718053,-0.674641,23.372319
344,1132089,i,61245.336607,1000,5.718053,-0.674641,23.484786
345,1133803,y,61247.18972,1000,5.718053,-0.674641,21.077695
346,1133809,y,61247.192422,1000,5.718053,-0.674641,21.082268
347,1133828,y,61247.201032,1000,5.718053,-0.674641,21.095575
348,1133866,y,61247.218176,1000,5.718053,-0.674641,21.11655
349,1134756,y,61248.233579,1000,5.718053,-0.674641,21.086071
350,1142066,i,61256.274426,1000,5.718053,-0.674641,23.23065
351,1142111,i,61256.29727,1000,5.718053,-0.674641,23.191566
352,1142195,i,61256.338872,1000,5.718053,-0.674641,23.07341
353,1142241,i,61256.361051,1000,5.718053,-0.674641,22.985632
354,1144638,r,61259.086785,1000,5.718053,-0.674641,24.041273
355,1144668,r,61259.101017,1000,5.718053,-0.674641,24.112793
356,1145650,i,61260.08179,1000,5.718053,-0.674641,23.518132
357,1145692,i,61260.101522,1000,5.718053,-0.674641,23.614774
358,1150687,u,61266.083294,1000,5.718053,-0.674641,23.173785
359,1152984,r,61268.208392,1000,5.718053,-0.674641,24.359567
360,1153025,r,61268.228162,1000,5.718053,-0.674641,24.351209
361,1162919,y,61280.060661,1000,5.718053,-0.674641,21.75187
362,1162998,y,61280.097079,1000,5.718053,-0.674641,21.836218
363,1163344,z,61281.026131,1000,5.718053,-0.674641,21.871994
364,1163377,z,61281.041719,1000,5.718053,-0.674641,21.92152
365,1163760,z,61281.224891,1000,5.718053,-0.674641,22.096202
366,1163784,z,61281.237337,1000,5.718053,-0.674641,22.073636
367,1164600,i,61285.179071,1000,5.718053,-0.674641,23.74509
368,1164633,i,61285.197121,1000,5.718053,-0.674641,23.697228
369,1165148,r,61285.996695,1000,5.718053,-0.674641,23.733489
370,1165188,r,61286.01478,1000,5.718053,-0.674641,23.838204
371,1168736,g,61298.050409,1000,5.718053,-0.674641,24.840555
372,1168777,g,61298.069225,1000,5.718053,-0.674641,24.887559
373,1176023,y,61308.139848,1000,5.718053,-0.674641,21.54819
374,1176034,y,61308.145196,1000,5.718053,-0.674641,21.542421
375,1176045,y,61308.150574,1000,5.718053,-0.674641,21.535946
376,1176068,y,61308.162347,1000,5.718053,-0.674641,21.51921
377,1177926,z,61310.184465,1000,5.718053,-0.674641,22.041572
378,1177959,z,61310.200617,1000,5.718053,-0.674641,21.987556
379,1179392,i,61312.04609,1000,5.718053,-0.674641,23.049723
380,1179426,i,61312.061748,1000,5.718053,-0.674641,23.035102
381,1179675,i,61312.187498,1000,5.718053,-0.674641,22.681222
382,1180983,z,61313.98641,1000,5.718053,-0.674641,22.228738
383,1181013,z,61313.999915,1000,5.718053,-0.674641,22.253007
384,1184484,r,61318.009356,1000,5.718053,-0.674641,24.646138
385,1184521,r,61318.02609,1000,5.718053,-0.674641,24.673588
386,1184524,r,61318.02745,1000,5.718053,-0.674641,24.675395
387,1184577,r,61318.052578,1000,5.718053,-0.674641,24.698193
388,1184640,r,61318.084511,1000,5.718053,-0.674641,24.698111
389,1184691,r,61318.110077,1000,5.718053,-0.674641,24.674542
390,1188028,u,61322.061622,1000,5.718053,-0.674641,23.535832
391,1191765,z,61327.007521,1000,5.718053,-0.674641,22.109139
392,1193458,r,61329.02834,1000,5.718053,-0.674641,24.236975
393,1193499,r,61329.047637,1000,5.718053,-0.674641,24.241264
394,1198156,z,61336.010296,1000,5.718053,-0.674641,22.12993
395,1198209,z,61336.035442,1000,5.718053,-0.674641,22.49731
396,1199105,y,61337.078866,1000,5.718053,-0.674641,21.540324
397,1199110,y,61337.081219,1000,5.718053,-0.674641,21.536914
398,1211032,i,61363.084781,1000,5.718053,-0.674641,22.628453
399,1211073,i,61363.103798,1000,5.718053,-0.674641,22.527269
400,1217376,y,61372.027,1000,5.718053,-0.674641,21.619668
401,1219556,r,61375.057847,1000,5.718053,-0.674641,24.209452
402,1219586,r,61375.071479,1000,5.718053,-0.674641,24.129157
403,1315670,y,61515.383528,1000,5.718053,-0.674641,21.610789
404,1319762,z,61520.417816,1000,5.718053,-0.674641,21.946848
405,1325597,i,61526.383527,1000,5.718053,-0.674641,23.003894
406,1325641,i,61526.404605,1000,5.718053,-0.674641,23.075842
407,1326593,g,61527.393579,1000,5.718053,-0.674641,24.478908
408,1327624,u,61528.392311,1000,5.718053,-0.674641,23.245068
409,1328537,u,61529.34389,1000,5.718053,-0.674641,22.865095
410,1336182,i,61539.312555,1000,5.718053,-0.674641,23.795135
411,1336229,i,61539.334679,1000,5.718053,-0.674641,23.907284
412,1337286,i,61540.370486,1000,5.718053,-0.674641,23.732535
413,1337324,i,61540.388039,1000,5.718053,-0.674641,23.778915
414,1337387,z,61540.420257,1000,5.718053,-0.674641,22.122764
415,1338178,z,61541.31372,1000,5.718053,-0.674641,22.833499
416,1338221,z,61541.336633,1000,5.718053,-0.674641,22.904105
417,1349367,i,61557.27072,1000,5.718053,-0.674641,23.278382
418,1349400,i,61557.2862,1000,5.718053,-0.674641,23.353818
419,1350462,g,61558.314182,1000,5.718053,-0.674641,24.50903
420,1350506,g,61558.334308,1000,5.718053,-0.674641,24.570847
421,1351055,r,61559.342751,1000,5.718053,-0.674641,24.232222
422,1351089,r,61559.358589,1000,5.718053,-0.674641,24.26158
423,1352035,u,61560.301331,1000,5.718053,-0.674641,23.235458
424,1353026,g,61561.277261,1000,5.718053,-0.674641,24.504857
425,1353061,g,61561.293433,1000,5.718053,-0.674641,24.576453
